FIPS,GEO_ID,NAME,B19013_001E
08019,0500000US08019,"Clear Creek County, Colorado",71919
08021,0500000US08021,"Conejos County, Colorado",33611
08023,0500000US08023,"Costilla County, Colorado",34732
08025,0500000US08025,"Crowley County, Colorado",40785
08027,0500000US08027,"Custer County, Colorado",60361
08029,0500000US08029,"Delta County, Colorado",47968
08031,0500000US08031,"Denver County, Colorado",72661
08033,0500000US08033,"Dolores County, Colorado",56786
08035,0500000US08035,"Douglas County, Colorado",121393
08037,0500000US08037,"Eagle County, Colorado",85877
08039,0500000US08039,"Elbert County, Colorado",104231
08041,0500000US08041,"El Paso County, Colorado",71517
08043,0500000US08043,"Fremont County, Colorado",52364
08045,0500000US08045,"Garfield County, Colorado",75435
08047,0500000US08047,"Gilpin County, Colorado",90547
08049,0500000US08049,"Grand County, Colorado",71769
08051,0500000US08051,"Gunnison County, Colorado",60557
08053,0500000US08053,"Hinsdale County, Colorado",39038
08055,0500000US08055,"Huerfano County, Colorado",40255
08057,0500000US08057,"Jackson County, Colorado",46157
08059,0500000US08059,"Jefferson County, Colorado",87793
08061,0500000US08061,"Kiowa County, Colorado",39503
08063,0500000US08063,"Kit Carson County, Colorado",50411
08065,0500000US08065,"Lake County, Colorado",65858
08067,0500000US08067,"La Plata County, Colorado",69291
08069,0500000US08069,"Larimer County, Colorado",76366
08071,0500000US08071,"Las Animas County, Colorado",44159
08073,0500000US08073,"Lincoln County, Colorado",47042
08075,0500000US08075,"Logan County, Colorado",49560
08077,0500000US08077,"Mesa County, Colorado",57157
08079,0500000US08079,"Mineral County, Colorado",53571
08081,0500000US08081,"Moffat County, Colorado",54583
08083,0500000US08083,"Montezuma County, Colorado",50717
08085,0500000US08085,"Montrose County, Colorado",54611
08087,0500000US08087,"Morgan County, Colorado",58468
08089,0500000US08089,"Otero County, Colorado",43075
08091,0500000US08091,"Ouray County, Colorado",68893
08093,0500000US08093,"Park County, Colorado",76611
08095,0500000US08095,"Phillips County, Colorado",50426
08097,0500000US08097,"Pitkin County, Colorado",82455
08099,0500000US08099,"Prowers County, Colorado",42648
08101,0500000US08101,"Pueblo County, Colorado",49979
08103,0500000US08103,"Rio Blanco County, Colorado",54247
08105,0500000US08105,"Rio Grande County, Colorado",43570
08107,0500000US08107,"Routt County, Colorado",76198
08109,0500000US08109,"Saguache County, Colorado",45231
08111,0500000US08111,"San Juan County, Colorado",56875
08113,0500000US08113,"San Miguel County, Colorado",66898
08115,0500000US08115,"Sedgwick County, Colorado",43875
08117,0500000US08117,"Summit County, Colorado",80709
08119,0500000US08119,"Teller County, Colorado",61463
08121,0500000US08121,"Washington County, Colorado",51181
08123,0500000US08123,"Weld County, Colorado",74332
08125,0500000US08125,"Yuma County, Colorado",54393
09001,0500000US09001,"Fairfield County, Connecticut",97539
09003,0500000US09003,"Hartford County, Connecticut",76259
09005,0500000US09005,"Litchfield County, Connecticut",81590
09007,0500000US09007,"Middlesex County, Connecticut",84907
09009,0500000US09009,"New Haven County, Connecticut",71370
09011,0500000US09011,"New London County, Connecticut",75831
09013,0500000US09013,"Tolland County, Connecticut",87809
09015,0500000US09015,"Windham County, Connecticut",67365
10001,0500000US10001,"Kent County, Delaware",60117
10003,0500000US10003,"New Castle County, Delaware",75275
10005,0500000US10005,"Sussex County, Delaware",64905
11001,0500000US11001,"District of Columbia, District of Columbia",90842
12001,0500000US12001,"Alachua County, Florida",50089
12003,0500000US12003,"Baker County, Florida",62299
12005,0500000US12005,"Bay County, Florida",56483
12007,0500000US12007,"Bradford County, Florida",43580
12009,0500000US12009,"Brevard County, Florida",59359
12011,0500000US12011,"Broward County, Florida",60922
12013,0500000US12013,"Calhoun County, Florida",38037
12015,0500000US12015,"Charlotte County, Florida",52724
12017,0500000US12017,"Citrus County, Florida",45689
12019,0500000US12019,"Clay County, Florida",68657
12021,0500000US12021,"Collier County, Florida",70217
12023,0500000US12023,"Columbia County, Florida",44818
